id,checkin_date,house_id,recommended_guests,city_id,hotel_area_id,house_level,house_type,gross_area,scenic_feature,enum_sharing_type,instance_count,livingroom_count,bathroom_count,kitchen_count,bedcount,cook_allow,is_prefer,is_verify,is_realphoto,longitude,latitude,house_is_rba,landlord_channel,bedroom_count,create_date,order_room_night_count,sell_channel,product_name,price,area_code1,area_code2,discount,area_code3,area_code4,weekday,month,month-day,days2sale,weeks_diff,future_avg_price,quality_score,comment_score,hygiene_score,service_score,environment_score,traffic_score,facility_score,decoration_score,picture_score,area1_ctrip_price,area2_ctrip_price,lianjia_price,has_lianjia_price,price_index,has_price_index,festival
0,2018-08-04,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-07-05,30,新蚂蚁,连住30天,301.0,S1Ea6aN4da,S2Ea6bN4da,0.0,S3Ea6aN4da,S4Ea6bN4da,7,8,8-4,30,3,7.366957044157405,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.39913330078125,14.745957056681313,0.0,0.0,0.0,0.0,平日
1,2018-08-04,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-07-31,7,新蚂蚁,连住7天,365.0,S1Ea6aN4da,S2Ea6bN4da,0.9804297774366846,S3Ea6aN4da,S4Ea6bN4da,7,8,8-4,4,1,7.890495558480012,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.39913330078125,14.745957056681313,0.0,0.0,0.0,0.0,平日
2,2018-05-19,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-05-19,4,携程酒店,基础价,341.0,S1Ea6aN4da,S2Ea6bN4da,0.0,S3Ea6aN4da,S4Ea6bN4da,7,5,5-19,0,0,6.664319056588322,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.76327304840088,43.365517139434814,0.0,0.0,0.0,0.0,平日
3,2018-07-11,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-07-05,30,新蚂蚁,连住30天,301.0,S1Ea6aN4da,S2Ea6bN4da,0.0,S3Ea6aN4da,S4Ea6bN4da,4,7,7-11,6,1,7.105567179113983,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.929362106323246,14.01090749104818,0.0,0.0,0.0,0.0,平日
4,2018-07-09,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-07-05,30,新蚂蚁,连住30天,301.0,S1Ea6aN4da,S2Ea6bN4da,0.0,S3Ea6aN4da,S4Ea6bN4da,2,7,7-9,4,1,7.105567179113983,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.715889739990235,13.923029899597168,0.0,0.0,0.0,0.0,平日
5,2018-08-01,4686,2,23,537,2,酒店式公寓,35,无,整租,2,0,1,1,1,1,1,1,0,121.449937,31.249216999999998,0,自营,1,2018-07-05,30,新蚂蚁,连住30天,301.0,S1Ea6aN4da,S2Ea6bN4da,0.0,S3Ea6aN4da,S4Ea6bN4da,4,8,8-1,27,3,7.366957044157405,6.407,1.368421052631579,1.2763157894736843,1.381578947368421,1.1842105263157894,1.4078947368421053,1.0921052631578947,1.25,3.0,20.431431579589844,14.491998672485352,0.0,0.0,0.0,0.0,平日
